classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword,class,course,difficulty
AIの諸問題,この講義では、今日のAIブームに至るAIの発展を1950年代のAI研究のはじまりから振り返り、AI研究の方法論や適用分野の変遷について学ぶ。さらに、AIの要素技術である機械学習の考え方や評価方法を事例の紹介を通して概観し、今日の大量データに基づくAI技術が社会に普及してゆくことにともなう影響や課題について考察する。,久保山哲二,no,no,1,1,集中講義,前期,選,AIの歴史,社会駆動,AI応用,1
AI医療・創薬概論,医療・創薬分野におけるビッグデータと人工知能（AI）技術の活用について最新の話題を含めながら講義する。医用画像のような医療データを情報解析することで医療診断支援を行うためのAI（深層ニューラルネットワーク）開発や応用研究について講義する。また、医療分野におけるAIの活用におけるセキュリティの問題についても触れる。さらに、分子や疾患に関する様々な医薬ビッグデータ（ゲノム、トランスクリプトーム、プロテオーム、メタボロームなどの大規模オミックスデータ）を情報解析し、医薬品開発に繋げるための機械学習（AI技術）の手法開発や応用研究について講義する。,竹本和広,no,no,1,2,集中講義,前期,選,人工知能、深層学習、機械学習、医療、創薬,社会駆動,AI応用,1
SDGs特論,SDGs（持続可能な開発目標）に代表される現代世界の複雑な問題は、一つの国、地域、組織、あるいは個人での解決は不可能である。それゆえ、異なるバックグラウンドを持つ多様なステークホルダー同士の協力が重要となる。他者から互いに学びあい、各々が変容していくプロセスが肝要である。本科目の受講者は、オンラインで世界各地のSDGsに関する取り組みに関するレクチャーを聴講し、その後、その内容について、オンラインでグループディスカッションを行う。本科目は集中講義であり、2コマずつ（例えば第1回と第2回授業）連続して実施する。レクチャーは初回を除いては外国人講師を招聘して英語で聴講する。ディスカッションは日本語で行う。これらを通して、受講者が、SDGsを、自らが世界と繋がり、学び、何かを提案する一連のプロセスとして体験することを意図している。,蔡佩宜,yes,no,4,1,集中講義,前期,選,SDGs、協働、対話、ディスカッション、オンライン,GEプログラム,,
アントレプレナーシップ入門,起業家（アントレプレナー），経営者，起業家育成に精通した者を講師として，起業家に求められるマインド（起業家精神＝アントレプレナーシップ），起業家に必須の技術と知識を学ぶ。,田中保成,yes,no,1,1,集中講義,後期,選,アントレプレナー、起業家、スタートアップ、ビジネス,社会駆動,アントレプレナーシップ,1
アントレプレナーシップ演習,起業家（アントレプレナー）、経営者、起業家育成に精通した者を講師として、起業家に求められるマインド（起業家精神＝アントレプレナーシップ、起業家に必須の技術と知識を学ぶ。経営、知財、財務、資金調達、事業計画書の作り方を演習を通して修得する。,田中保成,yes,no,4,1,集中講義,後期,選,アントレプレナー、起業家、スタートアップ、ビジネス、ピッチ,社会駆動,アントレプレナーシップ,
イメージ解析特論AI,"本講義では,大規模・複雑なイメージングデータからその背後に潜在する本質的構造を理解・定量化する上で必要なイメージ解析についての教育研究を行う。講義ではまず,空間フィルタやモルフォルジ処理など古典的な画像処理を概説する。次に,SIFTによるスケール不変な特徴の抽出や,動的輪郭法など,ディープラーニング登場以前からよく用いられてきたセグメンテーション技術について導入する。さらに,物体追跡の代表的な技術として,ベイズ推論に基づく状態推定アルゴリズムについて学ぶ。さらに,ここ10年ほどで急速な発展を遂げた,ディープラーニングに基づくセグメンテーションや追跡技術について学ぶ。最後に,自然科学や工学双方で非常に重要な技術である画像からの異常検出技術について学ぶ。",德永旭将,yes,no,2,2,集中講義,前期,選必,"イメージ解析,コンピュータビジョン,ベイズ推論,ディープラーニング,統計的機械学習,異常検知",専門深化,人工知能,2
イメージ解析特論CR,"本講義では,大規模・複雑なイメージングデータからその背後に潜在する本質的構造を理解・定量化する上で必要なイメージ解析についての教育研究を行う。講義ではまず,空間フィルタやモルフォルジ処理など古典的な画像処理を概説する。次に,SIFTによるスケール不変な特徴の抽出や,動的輪郭法など,ディープラーニング登場以前からよく用いられてきたセグメンテーション技術について導入する。さらに,物体追跡の代表的な技術として,ベイズ推論に基づく状態推定アルゴリズムについて学ぶ。さらに,ここ10年ほどで急速な発展を遂げた,ディープラーニングに基づくセグメンテーションや追跡技術について学ぶ。最後に,自然科学や工学双方で非常に重要な技術である画像からの異常検出技術について学ぶ。",德永旭将,yes,no,5,2,集中講義,前期,選,"イメージ解析,コンピュータビジョン,ベイズ推論,ディープラーニング,統計的機械学習,異常検知",社会駆動,画像認識,5
イメージ解析特論DS,"本講義では,大規模・複雑なイメージングデータからその背後に潜在する本質的構造を理解・定量化する上で必要なイメージ解析についての教育研究を行う。講義ではまず,空間フィルタやモルフォルジ処理など古典的な画像処理を概説する。次に,SIFTによるスケール不変な特徴の抽出や,動的輪郭法など,ディープラーニング登場以前からよく用いられてきたセグメンテーション技術について導入する。さらに,物体追跡の代表的な技術として,ベイズ推論に基づく状態推定アルゴリズムについて学ぶ。さらに,ここ10年ほどで急速な発展を遂げた,ディープラーニングに基づくセグメンテーションや追跡技術について学ぶ。最後に,自然科学や工学双方で非常に重要な技術である,画像からの異常検出技術について学ぶ。",德永旭将,yes,no,1,2,集中講義,前期,選必,"イメージ解析,コンピュータビジョン,ベイズ推論,ディープラーニング,統計的機械学習,異常検知",専門深化,データ科学,1
イメージ解析特論MI,"本講義では,大規模・複雑なイメージングデータからその背後に潜在する本質的構造を理解・定量化する上で必要なイメージ解析についての教育研究を行う。講義ではまず,空間フィルタやモルフォルジ処理など古典的な画像処理を概説する。次に,SIFTによるスケール不変な特徴の抽出や,動的輪郭法など,ディープラーニング登場以前からよく用いられてきたセグメンテーション技術について導入する。さらに,物体追跡の代表的な技術として,ベイズ推論に基づく状態推定アルゴリズムについて学ぶ。さらに,ここ10年ほどで急速な発展を遂げた,ディープラーニングに基づくセグメンテーションや追跡技術について学ぶ。最後に,自然科学や工学双方で非常に重要な技術である画像からの異常検出技術について学ぶ。",德永旭将,yes,no,1,2,集中講義,前期,選必,"イメージ解析,コンピュータビジョン,ベイズ推論,ディープラーニング,統計的機械学習,異常検知",専門深化,メディア情報学,1
インストラクショナルデザイン特論,この授業では、インストラクショナルデザイン（教育設計）の原理と実践に焦点を当て、効果的な学習環境の設計、学習スタイルの理解、教育技術の活用方法などを学びます。,小林雄志,yes,yes,4,1,木曜３限,第2クォーター,選,インストラクショナルデザイン、学習スタイル、メタ認知、協同学習,GEプログラム,,
