classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword
コンピュータアニメーション特論AI,"コンピュータアニメーションの応用技術を学習する。コンピュータアニメーションを利用したソフトウェアを開発する上で役に
立つ最新技術を、実際の演習を交えながら習得することを目標とする。
本授業の講義スライドやプログラミング演習の資料は、下記の授業のウェブページで公開する。
http://www .ha.ai.k yutech.ac.jp/lectur e/aca/",尾下　真樹,no,no,4,2,"月曜  1 限 , 木曜  3 限",第 1 クォーター,選必,コンピュータアニメーション、コンピュータグラフィックス、 OpenGL 、アプリケーション開発
コンピュータアニメーション特論MI,"コンピュータアニメーションの応用技術を学習する。コンピュータアニメーションを利用したソフトウェアを開発する上で役に
立つ最新技術を、実際の演習を交えながら習得することを目標とする。
本授業の講義スライドやプログラミング演習の資料は、下記の授業のウェブページで公開する。
http://www .ha.ai.k yutech.ac.jp/lectur e/aca/",尾下　真樹,no,no,4,2,"月曜  1 限 , 木曜  3 限",第 1 クォーター,選必,コンピュータアニメーション、コンピュータグラフィックス、 OpenGL 、アプリケーション開発
人工知能特論AI,"人工知能のうち，データマイニングにおける決定木構築アルゴリズム・相関規則マイニング・クラスタリングについて，それら
の手法とアルゴリズムの設計方法について学ぶ．",平田　耕一,no,no,4,2,集中講義,前期,選必,決定木，相関規則，クラスタリング
人工知能特論DS,"人工知能のうち，データマイニングや機械学習における決定木構築アルゴリズム・相関規則マイニング・クラスタリングについ
て，それらの手法とアルゴリズムの設計方法について学ぶ．",平田　耕一,no,no,4,2,集中講義,前期,選必,決定木，相関規則，クラスタリング
人工知能特論MI,"人工知能のうち，データマイニングにおける決定木構築アルゴリズム・相関規則マイニング・クラスタリングについて，それら
の手法とアルゴリズムの設計方法について学ぶ．",平田　耕一,no,no,4,2,集中講義,前期,選必,決定木，相関規則，クラスタリング
人間情報システム特論AI,"一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を
構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動
センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介し
てもらい議論する．",武村　紀子,no,no,4,2,"水曜  3 限 , 金曜  2 限",第 2 クォーター,選必,センシング，パターン認識，機械学習
人間情報システム特論CR,"一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を
構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動
センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介し
てもらい議論する．",武村　紀子,no,no,4,2,"水曜  3 限 , 金曜  2 限",第 2 クォーター,選,センシング，パターン認識，機械学習
人間情報システム特論DS,"一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を
構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動
センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介し
てもらい議論する．",武村　紀子,no,no,4,2,"水曜  3 限 , 金曜  2 限",第 2 クォーター,選必,センシング，パターン認識，機械学習
人間情報システム特論MI,"一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を
構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動
センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介し
てもらい議論する．",武村　紀子,no,no,4,2,"水曜  3 限 , 金曜  2 限",第 2 クォーター,選必,センシング，パターン認識，機械学習
位相的データ解析特論AI,"データ解析は得られた情報（データ）から特徴を抽出するために不可欠な技術である．通常の（古典的な）データ解析は正規分
布などの何らかの分布モデルを仮定して行われる．通常のデータ解析をもとに機械学習を行う場合，その学習結果の当てはまり
の良さは仮定した分布モデルが適切なものであるかに依存することになる．ビッグデータのような分布の数理モデルが不明であ
るもについては適切な分布モデルを探し求めることが問題になる．本授業科目で取り扱う「位相的データ解析」（ Topological
Data Analysis, TD A ）は位相幾何学的手法によりデータのもつ「形」からデータの特徴を抽出する技術であり，分布モデルを
仮定する必要はない．本授業科目では， TDA を理解するために必要な数学的基礎理論（位相空間論，ホモロジー論）について
解説し， TDAの基本的道具であるパーシストホモロジー群や mapper について理解することを目的とする．",佐藤　好久,no,no,4,2,"月曜  2 限 , 水曜  2 限",第 4 クォーター,選必,位相空間，可換環，加群，ホモロジー群，パーシステントホモロジー群， mapper
